Technology,SiteCode,BSC_OR_RNCName,SiteName,Vendor,CityName,OMC,SiteType,Priority,Type,Region,OSV,ProposedRegion,Zone,MBU,Latitude,Longitude,_2G_OR_3G,Prime_OR_NotPrime,PMCLSiteIndoor_OR_Outdoor,GensetStatus,OMOColocation,CollocatedStatus,SitePowerProfileType,VLAN,Fixed/Non Fixed,Switch/Non Switch,P2P Links,PMP Links,MF Links,Total Links
2G,ZRT1133,QTA315,ZRT1133__S_ziarat 1 warid_MDQU6322,ZTE,ZIARAT,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.3846,67.7232,2G,Standby,Outdoor,Genset Installed,JAZZ,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB0951,QTA315,ZOB0951__S_Zhob1 warid_MDQS6317,ZTE,ZHOB,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,31.3431,69.4608,2G,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR+UFONE Guest,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB0952,QTA315,ZOB0952__S_Zhob 5 warid_MDQS6321,ZTE,ZHOB,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,31.3394,69.4229,2G,Prime,Outdoor,Genset Installed,JAZZ,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB5440,QTA315,ZOB5440__S_ZHOBE CITY,ZTE,ZHOB,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,31.342,69.4548,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,13,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB5441,QTA315,ZOB5441__S_ZHOBE HIGHWAY,ZTE,ZHOB,ZTE,Gold,Gold,Macro,South,HNL,R2,30.0,S4-ZOB-01,31.3393,69.4405,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,13,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB6559,QTA315,ZOB6559__S_Musakhel 1 warid_MDQS6185,ZTE,MUSA KHEL BAZAR,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.8601,69.8227,2G,Standby,Outdoor,Genset Installed,JAZZ,,,,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZOB6560,QTA315,ZOB6560__S_Janan_House_Jail_Roadoad Pata E451,ZTE,ZHOB,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,31.338,69.449,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,13,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HGW5246,QTA315,HGW5246_Near Bershoor,ZTE,KHANOZAI,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.77406,67.32692,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,579,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,MBH5107,QTA315,MBH5107_Near Torgash Narai,ZTE,MUSLIM BAGH,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.879392,67.416907,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,579,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,MBH5067,QTA315,MBH5067_Near Tora Tang Road,ZTE,MUSLIM BAGH,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.947498,67.467551,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,579,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HGW4907,QTA315,HGW4907_Sarwar Khan Rd,ZTE,KHANOZAI,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.8284,67.24265,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,579,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,MBH5127,QTA315,MBH5127_Kutt Muhammad Shah,ZTE,MUSLIM BAGH,ZTE,Bronze,Bronze,Macro,South,HNL,R2,30.0,S4-ZOB-01,30.9019,67.34427,2G/LTE,DC Shared,Outdoor,Genset Installed,Enfrashare,,,579,Non Fixed,Non Switch,-   ,-   ,-   ,-   
3G,RWP0166,ISB220,URWP0166__H_GulistanColony,Huawei,RAWALPINDI,Huawei OMC,Hub,Hub,Macro,North,Mobiserve,R1,13.0,N1-RWP-01,33.5676,73.09,2G/3G/LTE,Standby,Indoor,Genset Installed,JAZZ,No,,386,Fixed Site,Switch,10,1,-   ,11
2G,ZBI3894,ISB001,ZBI3894__S_Zarobi_Town_Sawabi_SB2817,Huawei,TOPI,Huawei,Bronze,Bronze,Macro,North,HNL,R1,18.0,N2-MRD-03,34.0341,72.5667,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,3005,Fixed Site,Non Switch,2,-   ,-   ,2
2G,ZIK2696,ISB003,ZIK2696__S_AhmedKhel,Huawei,LAKKI MARWAT,Huawei,Bronze,Bronze,Macro,North,HNL,R1,17.0,N2-DIK-07,32.4461,70.9679,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2245,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZDA1436,ISB001,ZDA1436__S_JahangSwabi,Huawei,ZAIDA,Huawei,Diamond,Diamond,Macro,North,HNL,R1,18.0,N2-MRD-03,34.0483,72.4195,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,617,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZDA1945,ISB001,ZDA1945__S_Zaida_2,Huawei,ZAIDA,Huawei,Platinum,Platinum,Macro,North,HNL,R1,15.0,N2-MRD-03,34.0734,72.4492,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,617,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZDA3896,ISB001,ZDA3896__S_Zaida_SB3352,Huawei,ZAIDA,Huawei,Platinum,Platinum,Macro,North,HNL,R1,15.0,N2-MRD-03,34.0601,72.4674,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/UFONE Guest,,,617,Fixed Site,Non Switch,2,-   ,-   ,2
2G,ZDA2498,ISB001,ZDA2498__S_Village_Anbar_541621,Huawei,ZAIDA,Huawei,Diamond,Diamond,Macro,North,HNL,R1,18.0,N2-MRD-03,34.0435,72.409,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,617,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RUR7729,RYK317,RUR7729__S_BastiMuhammadShah,ZTE,KHANPUR,ZTE,Hub,Hub,Macro,Central B,HNL,R2,31.0,C7-RYK-07,28.8047,70.5414,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2736,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RUR3894,RYK317,RUR3894__S_Khanpur Zahir Pir Road_Enfra,ZTE,KHANPUR,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,31.0,C7-RYK-07,28.76902,70.55357,2G/LTE,CP Prime,Outdoor,Genset not Installed,Enfrashare,,,2736,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR4727,RYK317,RUR4727_Near Sufi Mohd Shrine Zahir Pir,ZTE,KHANPUR,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,31.0,C7-RYK-07,28.813562,70.526833,2G/LTE,CP Prime,Outdoor,Genset not Installed,Enfrashare,,,2736,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,CCH5937,RYK317,CCH5937,ZTE,KHANPUR,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,31.0,C7-RYK-07,28.86875,70.547882,2G/LTE,CP Prime,Outdoor,Genset not Installed,ATL,,,2736,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZAS7505,BHP353,ZAS7505__S_Zaheer_Abad_Shaheed,ZTE,MAILSI,ZTE,Platinum,Platinum,Macro,Central B,HNL,R1,25.0,C6-VHR-03,30.0776,72.0429,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,1655,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZAS7503,BHP353,ZAS7503__H_Chak75B,ZTE,KHANEWAL,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,25.0,C6-KWL-01,30.1117,72.0837,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,1655,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZAS7504,BHP353,ZAS7504__S_75B_15_L,ZTE,KHANEWAL,ZTE,Gold,Gold,Macro,Central B,HNL,R2,25.0,C6-KWL-01,30.1319,72.0416,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1655,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,ZAS1696,BHP353,ZAS1696__S_Nawan Chok,ZTE,KHANEWAL,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,25.0,C6-KWL-01,30.10725,72.01927,2G/LTE,DC Shared,Outdoor,Genset not Installed,Enfrashare,,,596,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1357,BHP318,RUR1357__S_KOTLI NAJABAT,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.7793,71.4802,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/TELENOR Host,,,2914,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1449,MUL320,RUR1449__S_Pakka kacha village,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.83,71.284,2G/LTE,DC Shared,Outdoor,Genset not Installed,Jazz Guest/CM-PAK Host,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ4277,MUL320,SUJ4277__P_Bangla_Street_Shujabad,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8771,71.2965,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ4276,MUL320,SUJ4276__S_Wazir_Colony_Shujabad,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8851,71.2984,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR4575,BHP318,RUR4575__S_SUJPirGhayeb,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.7854,71.2738,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2910,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR4245,BHP318,RUR4245__P_ZareefShaheed,ZTE,SHUJABAD,ZTE,Elite,Elite,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.7962,71.4038,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2914,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR3626,MUL320,RUR3626__S_Mor SikandarabdSUJ,ZTE,SHUJABAD,ZTE,Elite,Elite,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.9246,71.3581,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR3628,MUL320,RUR3628__P_AddaPullRaitwali,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8662,71.4312,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2623,Non Fixed,Non Switch,-   ,-   ,-   ,-   
4G,LHR0003,,LTE_LHR0003__P_EdenCenter,Huawei,LAHORE,Huawei OMC,Platinum,Platinum,Macro,Central A,Mobiserve,R1,5.0,C1-LHR-06,31.544,74.322,2G/3G/LTE,CP Prime,Indoor,Genset Not Installed,JAZZ,No,,143,Fixed Site,Non Switch,-   ,-   ,7,7
2G,SUJ7973,MUL320,SUJ7973__P_BastiShawala,ZTE,SHUJABAD,ZTE,Hub,Hub,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8732,71.291,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2621,Fixed Site,Switch,6,6,-   ,12
2G,SUJ8386,MUL320,SUJ8386__P_Multani Gate,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8823,71.2934,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR0890,BHP318,RUR0890__S_ChahMosamwala,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.7798,71.4218,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2914,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ0105,MUL320,SUJ0105__P_Basti_UsmanAbad,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8719,71.3135,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY1246,MUL320,HWY1246__S_ChakSardarPur,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8724,71.3738,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1245,MUL320,RUR1245__S_SayyedWala,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.9283,71.3196,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1229,MUL320,"RUR1229__S_Moaza Soma, Usman Colony,",ZTE,SHUJABAD,ZTE,Elite,Elite,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.891,71.2582,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1247,MUL320,RUR1247__S_Basti Lutt wala,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.9275,71.4065,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
